id,nama,url,harga
76,Ulanzi UURig C-G7XMarkIII Camera Cage For Canon G7X Mark III,https://galaxycamera.id/en/ulanzi-uurig-c-g7xmarkiii-camera-cage-for-canon-g7x-mark-iii.html,"Rp715.000,00"
77,Ulanzi PT-7 Cold Shoe Mount,https://galaxycamera.id/en/ulanzi-pt-7-cold-shoe-mount.html,"Rp102.000,00"
78,Ulanzi PT-8 Hot Shoe Extention Mount Bracket,https://galaxycamera.id/en/ulanzi-pt-8-hot-shoe-extention-mount-bracket.html,"Rp102.000,00"
79,Ulanzi F-Mount Pro Smartphone Video Grip,https://galaxycamera.id/en/ulanzi-f-mount-pro-smartphone-video-grip.html,"Rp140.000,00"
80,Ulanzi MT-08 Extendable Mini Tripod & Handle,https://galaxycamera.id/en/ulanzi-mt-08-extendable-mini-tripod-handle.html,"Rp163.000,00"
81,Ulanzi ST-07 Phone Holder With Cold Shoe Mount,https://galaxycamera.id/en/ulanzi-st-07-phone-holder-with-cold-shoe-mount.html,"Rp75.000,00"
82,Moza Mini-MI,https://galaxycamera.id/en/moza-mini-mi.html,"Rp1.199.000,00"
83,Charger Nikon MH-24 Original,https://galaxycamera.id/en/charger-nikon-mh-24-original.html,"Rp1.059.000,00"
84,Tas Camera Lowepro ILC Classic 100,https://galaxycamera.id/en/tas-camera-lowepro-ilc-classic-100.html,"Rp385.000,00"
85,Tas Camera Lowepro Passport Backpack,https://galaxycamera.id/en/tas-camera-lowepro-passport-backpack.html,"Rp550.000,00"
86,Boya BY-WM4 Pro K2 Dual-Channel Wireless Microphone,https://galaxycamera.id/en/boya-by-wm4-pro-k2-dual-channel-wireless-microphone.html,"Rp1.620.000,00"
87,Dry Cabinet Casell CL-250A,https://galaxycamera.id/en/dry-cabinet-casell-cl-250a.html,"Rp8.600.000,00"
88,Dry Cabinet Casell CL-180A,https://galaxycamera.id/en/dry-cabinet-casell-cl-180a.html,"Rp5.890.000,00"
89,Dry Cabinet Casell CL-150A,https://galaxycamera.id/en/dry-cabinet-casell-cl-150a.html,"Rp4.890.000,00"
90,Dry Cabinet Casell CL-128A,https://galaxycamera.id/en/dry-cabinet-casell-cl-128a.html,"Rp4.400.000,00"
91,Dry Cabinet Casell CL-80HA,https://galaxycamera.id/en/dry-cabinet-casell-cl-80ha.html,"Rp2.820.000,00"
92,Dry Cabinet Casell CL-80A,https://galaxycamera.id/en/dry-cabinet-casell-cl-80a.html,"Rp2.820.000,00"
93,Dry Cabinet Casell CL-100A,https://galaxycamera.id/en/dry-cabinet-casell-cl-100a.html,"Rp3.500.000,00"
94,Maono AU-A04 USB Podcasting Microphone,https://galaxycamera.id/en/maono-au-a04-usb-podcasting-microphone.html,"Rp1.050.000,00"
95,Feiyu VLOG Pocket 2,https://galaxycamera.id/en/feiyu-vlog-pocket-2.html,"Rp1.150.000,00"
96,DJI Osmo Mobile 4,https://galaxycamera.id/en/dji-osmo-mobile-4.html,"Rp2.199.000,00"
97,Moza Mini MX,https://galaxycamera.id/en/moza-mini-mx.html,"Rp1.299.000,00"
98,Panasonic Lumix DC-G100 Kit 12-32mm + Tripod Grip,https://galaxycamera.id/en/panasonic-lumix-dc-g100-12-32mm-tripod.html,"Rp11.199.000,00"
99,Panasonic Lumix DC-G100 Kit 12-32mm,https://galaxycamera.id/en/panasonic-lumix-dc-g100-kit-12-32mm.html,"Rp10.499.000,00"
100,Boya BY-M3 Clip-On Lavalier Microphone USB Type C Connector,https://galaxycamera.id/en/boya-by-m3-clip-on-lavalier-microphone-usb-type-c-connector.html,"Rp440.000,00"
101,Boya BY-M2 Clip-On Lavalier Microphone For iOS Devices,https://galaxycamera.id/en/boya-by-m2-clip-on-lavalier-microphone-for-ios-devices.html,"Rp440.000,00"
102,DJI Mavic Mini Intelligent Flight Battery,https://galaxycamera.id/en/dji-mavic-mini-intelligent-flight-battery.html,"Rp650.000,00"
103,Zomei Q100 Tripod,https://galaxycamera.id/en/zomei-q100-tripod.html,"Rp246.000,00"
104,Saramonic Blink 500 B1 Snow White UltraCompact Wireless Clip-on,https://galaxycamera.id/en/saramonic-blink-500-b1-snow-white-ultracompact-wireless-clip-on.html,"Rp1.690.000,00"
105,Saramonic Blink 500 B2 Snow White UltraCompact 2-Person Wireless Clip-on,https://galaxycamera.id/en/saramonic-blink-500-b2-white-ultracompact-2-person-wireless-clip-on.html,"Rp2.050.000,00"
106,GoPro Sleeve + Lanyard Turtle Green For HERO8,https://galaxycamera.id/en/gopro-sleeve-lanyard-turtle-green-for-hero8.html,"Rp349.000,00"
107,GoPro Sleeve + Lanyard Hyper Orange For HERO8,https://galaxycamera.id/en/gopro-sleeve-lanyard-hyper-orange-for-hero8.html,"Rp349.000,00"
108,GoPro Sleeve + Lanyard Electric Pink For HERO8,https://galaxycamera.id/en/gopro-sleeve-lanyard-electric-pink-for-hero8.html,"Rp349.000,00"
109,GoPro Sleeve + Lanyard Firecracker Red For HERO8,https://galaxycamera.id/en/gopro-sleeve-lanyard-firecracker-red-for-hero8.html,"Rp349.000,00"
110,GoPro Sleeve + Lanyard Bluebird For HERO8,https://galaxycamera.id/en/gopro-sleeve-lanyard-bluebird-for-hero8.html,"Rp349.000,00"
111,GoPro Sleeve + Lanyard White Hot For HERO8,https://galaxycamera.id/en/gopro-sleeve-lanyard-white-hot-for-hero8.html,"Rp349.000,00"
112,GoPro Magnetic Swivel Clip,https://galaxycamera.id/en/gopro-magnetic-swivel-clip.html,"Rp399.000,00"
113,Rode Wireless Go Compact Microphone System Black,https://galaxycamera.id/en/rode-wireless-go-compact-microphone-system-black.html,"Rp2.695.000,00"
114,Rode Wireless Go Compact Microphone System White,https://galaxycamera.id/en/rode-wireless-go-compact-microphone-system-white.html,"Rp2.695.000,00"
115,Brica B-Steady XS White Silver,https://galaxycamera.id/en/brica-b-steady-xs-white-silver.html,"Rp1.499.000,00"
116,Brica B-Steady XS White Rose Gold,https://galaxycamera.id/en/brica-b-steady-xs-white-rose-gold.html,"Rp1.499.000,00"
